Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000104976	si:ch1073-67j19.2	ZDB-GENE-141216-263	si:ch1073-67j19.2	101882838	protein_coding
ENSDARG00000007711	rab3il1	ZDB-GENE-110921-5	rab3il1	100331248	protein_coding
ENSDARG00000059067	jupb	ZDB-GENE-110407-10	jupb	100330886	protein_coding
ENSDARG00000094377	samd10b	ZDB-GENE-090312-179	samd10b	100147927	protein_coding
ENSDARG00000020574	atp2a1	ZDB-GENE-020905-1	atp2a1	260440	protein_coding
ENSDARG00000040131	zfyve26	ZDB-GENE-030131-3286	zfyve26	324565	protein_coding
ENSDARG00000094978	si:ch73-18b11.2	ZDB-GENE-070912-333			protein_coding
ENSDARG00000002300	p2rx2	ZDB-GENE-030319-2	p2rx2	387297	protein_coding
ENSDARG00000016350	cap1	ZDB-GENE-030131-6459	cap1	334527	protein_coding
ENSDARG00000075743	mrpl47	ZDB-GENE-030219-177	mrpl47	557789	protein_coding
ENSDARG00000089019	si:ch211-175m2.5	ZDB-GENE-130530-947	si:ch211-175m2.5	568697	protein_coding
ENSDARG00000031511	psmb2	ZDB-GENE-040718-353	psmb2	436882	protein_coding
ENSDARG00000100795	timp4.3	ZDB-GENE-070824-1	timp4.3	100124610	protein_coding
ENSDARG00000058108	eps8l2	ZDB-GENE-131121-340	eps8l2	798252	protein_coding
ENSDARG00000062058	slc12a7b	ZDB-GENE-030829-61	slc12a7b	567667	protein_coding
ENSDARG00000079306	rlim	ZDB-GENE-120809-2	rlim	562487	protein_coding
ENSDARG00000035944	sync	ZDB-GENE-060503-747	sync	100034635	protein_coding
ENSDARG00000097234	AL929435.1				lncRNA
ENSDARG00000013979	ndfip1	ZDB-GENE-030131-2767	ndfip1	324047	protein_coding
ENSDARG00000008969	fgb	ZDB-GENE-030131-9261	fgb	337315	protein_coding
ENSDARG00000068428	si:ch211-153j24.3	ZDB-GENE-041014-38	si:ch211-153j24.3	564403	protein_coding
