Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00012418	WBGene00012418		pseudogene
WBGene00012419	WBGene00012419		pseudogene
WBGene00012420	Y7A9D.1	178455	protein_coding
WBGene00012421	Y9C2UA.1	189405	protein_coding
WBGene00012423	Y10G11A.1	178457	protein_coding
WBGene00012424	dlc-3	259606	protein_coding
WBGene00012425	dlc-4	3565151	protein_coding
WBGene00012426	WBGene00012426		pseudogene
WBGene00012428	Y11D7A.3	177745	protein_coding
WBGene00012429	Y11D7A.5	189430	protein_coding
WBGene00012431	Y11D7A.7	189432	protein_coding
WBGene00012432	Y11D7A.8	189433	protein_coding
WBGene00012433	Y11D7A.9	189434	protein_coding
WBGene00012434	Y11D7A.10	177747	protein_coding
WBGene00012435	flh-1	177749	protein_coding
WBGene00012436	flh-3	189435	protein_coding
WBGene00012437	nmy-3	177750	protein_coding
WBGene00012439	Y12A6A.1	181482	protein_coding
WBGene00012440	nlp-53	181483	protein_coding
WBGene00012441	glb-28	189438	protein_coding
WBGene00012442	Y15E3A.3	189439	protein_coding
WBGene00012443	Y15E3A.4	181623	protein_coding
WBGene00012444	Y15E3A.5	181624	protein_coding
WBGene00012445	Y16B4A.2	181572	protein_coding
WBGene00012446	nhr-230	189442	protein_coding
WBGene00012448	cyp-33D3	189444	protein_coding
WBGene00012449	nhr-231	189445	protein_coding
WBGene00012450	Y17D7B.2	189446	protein_coding
WBGene00012451	Y17D7B.3	189447	protein_coding
WBGene00012452	Y17D7B.4	189448	protein_coding
WBGene00012453	WBGene00012453		pseudogene
WBGene00012454	clec-256	189450	protein_coding
WBGene00012455	Y17D7C.1	189451	protein_coding
WBGene00012456	Y17D7C.2	189452	protein_coding
WBGene00012457	acbp-6	189453	protein_coding
WBGene00012458	ash-2	174838	protein_coding
WBGene00012459	Y17G7B.3	174839	protein_coding
WBGene00012460	dhps-1	174840	protein_coding
WBGene00012461	glb-29	189454	protein_coding
WBGene00012462	Y17G7B.8	189455	protein_coding
WBGene00012463	nadk-2	174846	protein_coding
WBGene00012464	arrd-7	174847	protein_coding
WBGene00012465	Y17G7B.12	174842	protein_coding
WBGene00012466	ippk-1	189456	protein_coding
WBGene00012467	arrd-8	189457	protein_coding
WBGene00012468	Y17G7B.17	174849	protein_coding
WBGene00012469	Y17G7B.18	174850	protein_coding
WBGene00012470	WBGene00012470		pseudogene
WBGene00012471	Y17G7B.20	174837	protein_coding
WBGene00012472	Y17G7B.21	259466	protein_coding
WBGene00012473	Y17G7B.22	259467	protein_coding
WBGene00012474	attf-6	173148	protein_coding
WBGene00012475	Y18D10A.2	189471	protein_coding
WBGene00012476	Y18D10A.3	189472	protein_coding
WBGene00012477	Y18D10A.4	189473	protein_coding
WBGene00012478	mxt-1	173151	protein_coding
WBGene00012479	ciao-1	173152	protein_coding
WBGene00012480	clec-104	189475	protein_coding
WBGene00012481	Y18D10A.11	173153	protein_coding
WBGene00012482	clec-106	173154	protein_coding
WBGene00012483	coa-5	173157	protein_coding
WBGene00012484	car-1	173158	protein_coding
WBGene00012485	WBGene00012485		pseudogene
WBGene00012486	Y18D10A.21	189477	protein_coding
WBGene00012487	Y18D10A.23	173155	protein_coding
WBGene00012488	clec-105	3564776	protein_coding
WBGene00012489	Y19D2B.1	189479	protein_coding
WBGene00012490	Y19D2B.2	3565217	protein_coding
WBGene00012491	Y20C6A.1	180151	protein_coding
WBGene00012492	fbxb-7	189498	protein_coding
WBGene00012493	WBGene00012493		pseudogene
WBGene00012494	nhr-232	179426	protein_coding
WBGene00012496	Y24F12A.1	178085	protein_coding
WBGene00012497	ragc-1	178084	protein_coding
WBGene00012498	WBGene00012498		pseudogene
WBGene00012499	WBGene00012499		pseudogene
WBGene00012500	hpo-2	173178	protein_coding
WBGene00012501	Y26D4A.3	189544	protein_coding
WBGene00012502	clec-107	189545	protein_coding
WBGene00012503	Y26D4A.5	189546	protein_coding
WBGene00012504	clec-108	189547	protein_coding
WBGene00012505	pals-13	189548	protein_coding
WBGene00012509	Y26D4A.12	3564819	protein_coding
WBGene00012512	ekl-5	181500	protein_coding
WBGene00012513	Y26E6A.2	189552	protein_coding
WBGene00012514	Y26E6A.3	3564786	protein_coding
WBGene00012515	Y26G10.1	189553	protein_coding
WBGene00012516	sqst-4	189561	protein_coding
WBGene00012517	WBGene00012517		pseudogene
WBGene00012518	comt-2	189563	protein_coding
WBGene00012519	WBGene00012519		pseudogene
WBGene00012520	Y32B12A.5	189565	protein_coding
WBGene00012521	Y32B12B.1	189566	protein_coding
WBGene00012522	Y32B12B.2	180109	protein_coding
WBGene00012523	srbc-65	189567	protein_coding
WBGene00012524	Y32B12B.4	180110	protein_coding
WBGene00012525	Y32B12C.1	189572	protein_coding
WBGene00012526	WBGene00012526		pseudogene
WBGene00012527	set-22	179457	protein_coding
WBGene00012528	pap-1	179458	protein_coding
WBGene00012529	Y32F6A.4	179456	protein_coding
WBGene00012530	Y32F6A.5	179459	protein_coding
WBGene00012531	Y32F6B.1	179463	protein_coding
WBGene00012532	crp-1	179462	protein_coding
WBGene00012533	fbxa-209	189597	protein_coding
WBGene00012535	Y37A1A.2	178355	protein_coding
WBGene00012536	Y37A1A.3	189599	protein_coding
WBGene00012537	Y37A1B.4	189600	protein_coding
WBGene00012538	semo-1	178360	protein_coding
WBGene00012540	Y37A1B.7	178359	protein_coding
WBGene00012541	irld-55	189602	protein_coding
WBGene00012542	irld-56	189603	protein_coding
WBGene00012543	nkcc-1	3565648	protein_coding
WBGene00012544	Y37D8A.2	176698	protein_coding
WBGene00012545	Y37D8A.3	189612	protein_coding
WBGene00012546	Y37D8A.4	176699	protein_coding
WBGene00012547	Y37D8A.5	189613	protein_coding
WBGene00012548	Y37D8A.6	189614	protein_coding
WBGene00012549	Y37D8A.8	189616	protein_coding
WBGene00012550	spcs-2	176703	protein_coding
WBGene00012551	cec-7	176704	protein_coding
WBGene00012552	enu-3.5	176705	protein_coding
WBGene00012553	cox-5A	176707	protein_coding
WBGene00012554	Y37D8A.16	176709	protein_coding
WBGene00012555	npp-25	189617	protein_coding
WBGene00012556	mrps-10	189618	protein_coding
WBGene00012557	Y37D8A.19	176711	protein_coding
WBGene00012558	rbm-7	176710	protein_coding
WBGene00012559	epg-3	176712	protein_coding
WBGene00012560	Y37D8A.25	3565405	protein_coding
WBGene00012561	Y37D8A.26	259541	protein_coding
WBGene00012562	Y37H2A.1	180186	protein_coding
WBGene00012564	fbxa-107	189628	protein_coding
WBGene00012565	fbxa-210	180187	protein_coding
WBGene00012566	fbxa-211	189629	protein_coding
WBGene00012567	Y37H2A.7	189630	protein_coding
WBGene00012568	WBGene00012568		pseudogene
WBGene00012569	WBGene00012569		pseudogene
WBGene00012570	Y37H2A.10	189633	protein_coding
WBGene00012571	Y37H2A.11	189634	protein_coding
WBGene00012572	WBGene00012572		pseudogene
WBGene00012573	WBGene00012573		pseudogene
WBGene00012574	fbxa-213	189636	protein_coding
WBGene00012575	Y37H2C.4	189637	protein_coding
WBGene00012576	Y37H9A.1	173243	protein_coding
WBGene00012577	WBGene00012577		pseudogene
WBGene00012578	ccct-1	173244	protein_coding
WBGene00012579	Y38E10A.1	189652	protein_coding
WBGene00012580	Y38E10A.2	43578492	protein_coding
WBGene00012581	Y38E10A.3	174892	protein_coding
WBGene00012582	clec-8	174893	protein_coding
WBGene00012583	clec-4	189654	protein_coding
WBGene00012584	ceh-100	174894	protein_coding
WBGene00012585	lips-15	174895	protein_coding
WBGene00012586	Y38E10A.8	189655	protein_coding
WBGene00012587	Y38E10A.9	189656	protein_coding
WBGene00012588	WBGene00012588		pseudogene
WBGene00012589	nspe-4	189658	protein_coding
WBGene00012590	nspe-3	189659	protein_coding
WBGene00012591	nspe-1	189660	protein_coding
WBGene00012592	Y38E10A.14	174896	protein_coding
WBGene00012593	nspe-7	189661	protein_coding
WBGene00012594	nspe-5	189662	protein_coding
WBGene00012595	Y38E10A.17	174897	protein_coding
WBGene00012596	nhr-234	189663	protein_coding
WBGene00012597	nhr-235	189664	protein_coding
WBGene00012600	Y38E10A.22	189667	protein_coding
WBGene00012602	Y38E10A.24	174898	protein_coding
WBGene00012603	nspe-6	3564817	protein_coding
WBGene00012604	nspe-2	3565123	protein_coding
WBGene00012605	Y38F1A.1	174938	protein_coding
WBGene00012606	Y38F1A.2	174939	protein_coding
WBGene00012607	Y38F1A.4	189672	protein_coding
WBGene00012608	hphd-1	174942	protein_coding
WBGene00012609	Y38F1A.7	189673	protein_coding
WBGene00012610	Y38F1A.8	189674	protein_coding
WBGene00012612	Y38H6A.1	189680	protein_coding
WBGene00012614	Y38H6A.3	180333	protein_coding
WBGene00012615	dct-16	180345	protein_coding
WBGene00012616	dct-14	189684	protein_coding
WBGene00012617	Y38H6C.4	189685	protein_coding
WBGene00012618	WBGene00012618		pseudogene
WBGene00012620	WBGene00012620		pseudogene
WBGene00012621	Y38H6C.8	189689	protein_coding
WBGene00012622	Y38H6C.9	189690	protein_coding
WBGene00012623	WBGene00012623		pseudogene
WBGene00012624	fbxa-150	189692	protein_coding
WBGene00012625	Y38H6C.13	189694	protein_coding
WBGene00012626	famh-161	189695	protein_coding
WBGene00012627	Y38H6C.15	189696	protein_coding
WBGene00012628	Y38H6C.16	189697	protein_coding
WBGene00012629	slc-36.3	189698	protein_coding
WBGene00012630	Y38H6C.18	189699	protein_coding
WBGene00012631	vmo-1	180346	protein_coding
WBGene00012632	Y38H6C.20	189700	protein_coding
WBGene00012633	Y38H6C.21	189701	protein_coding
WBGene00012634	Y38H6C.23	3565171	protein_coding
WBGene00012635	Y38H8A.1	178317	protein_coding
WBGene00012636	Y38H8A.2	189703	protein_coding
WBGene00012637	Y38H8A.3	178315	protein_coding
WBGene00012638	Y38H8A.4	178314	protein_coding
WBGene00012639	fezf-1	3564888	protein_coding
WBGene00012640	Y38H8A.7	3565211	protein_coding
WBGene00012641	epg-6	189705	protein_coding
WBGene00012642	Y39A1A.2	189706	protein_coding
WBGene00012643	Y39A1A.3	176479	protein_coding
WBGene00012644	rabx-5	176481	protein_coding
WBGene00012645	mrpl-22	176482	protein_coding
WBGene00012646	lron-10	189707	protein_coding
WBGene00012647	swt-4	189708	protein_coding
WBGene00012648	Y39A1A.9	176484	protein_coding
WBGene00012649	Y39A1A.10	189709	protein_coding
WBGene00012650	orc-1	176486	protein_coding
WBGene00012651	orc-4	176487	protein_coding
WBGene00012652	Y39A1A.14	176488	protein_coding
WBGene00012654	Y39A1A.16	189710	protein_coding
WBGene00012655	Y39A1A.17	189711	protein_coding
WBGene00012656	Y39A1A.18	189712	protein_coding
