Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0262955	RpII140	BT003265	41721	41721	protein_coding
FBgn0038429	CG14882	AI544416	41994	41994	protein_coding
FBgn0029990	CG2233	AY058429	31721	31721	protein_coding
FBgn0261843	pre-mod(mdg4)-W		10178832	10178832	protein_coding
FBgn0028703	Nhe3	BI583390	33939	33939	protein_coding
FBgn0052529	Hers	CZ476594	33000	33000	protein_coding
FBgn0260499	qvr	CL527734	2768718	2768718	protein_coding
FBgn0267484	asRNA:CR45834		26067162	26067162	lncRNA
FBgn0031412	CG16995	BG636672	33413	33413	protein_coding
FBgn0040524	CG11052	AI946414	49997	49997	protein_coding
FBgn0266377	Pde8	CL943634	37741	37741	protein_coding
FBgn0032364	CG4970	AW944493	3772412	3772412	protein_coding
FBgn0033863	CG13337	BF489889	36518	36518	protein_coding
FBgn0028744	CG5033	AY069513	37036	37036	protein_coding
FBgn0052088	sunn		326196	326196	protein_coding
FBgn0032250	holn1	AY069127	34432	34432	protein_coding
FBgn0063385	snoRNA:Me28S-A3407a		3772268	3772268	sncRNA
FBgn0265467	lncRNA:CR44360		19835506	19835506	lncRNA
FBgn0033756	CG17760	BI638668	36385	36385	protein_coding
FBgn0052382	sphinx2		38833	38833	protein_coding
FBgn0030159	CG9689	AI107860	31922	31922	protein_coding
FBgn0014018	Rel	AF186077	41087	41087	protein_coding
FBgn0022027	Vps25	AY089657	35847	35847	protein_coding
FBgn0037073	Tsr1	BI373530	40360	40360	protein_coding
FBgn0259971	CG42481		8674058	8674058	protein_coding
FBgn0029766	CG15784		31461	31461	protein_coding
FBgn0034012	Hr51		36702	36702	protein_coding
FBgn0052667	ssp7		318146	318146	protein_coding
FBgn0262106	lncRNA:CR42859		10178841	10178841	lncRNA
FBgn0005771	noc	AW942795	34847	34847	protein_coding
FBgn0035725	Mis12	BI213906	38762	38762	protein_coding
FBgn0264552	CG43931		14462897	14462897	protein_coding
FBgn0039629	CG11842	BT010099	43431	43431	protein_coding
FBgn0266811	CG45273		19835434	19835434	protein_coding
FBgn0034073	CG8414	AY070613	36774	36774	protein_coding
FBgn0010380	AP-1-2beta	AI532560	32987	32987	protein_coding
FBgn0029697	CG15570		31366	31366	protein_coding
FBgn0036415	CG7768	AI947146	39573	39573	protein_coding
FBgn0267542	asRNA:CR45882		26067210	26067210	lncRNA
FBgn0259975	Sfp87B	EU755350	8674076	8674076	protein_coding
FBgn0050340	CG30340		246550	246550	protein_coding
FBgn0052447	CG32447	BH759484	40412	40412	protein_coding
FBgn0052832	CG32832	BE662030	318237	318237	protein_coding
FBgn0037875	ZnT86D	AY113365	41342	41342	protein_coding
FBgn0029997	CG2258	AW943309	31729	31729	protein_coding
FBgn0047092	lncRNA:CR32730	AY071473	3772297	3772297	lncRNA
FBgn0266673	Sec10	BI485403	42863	42863	protein_coding
FBgn0038068	CG11600		41555	41555	protein_coding
FBgn0001091	Gapdh1	AA820539	35728	35728	protein_coding
FBgn0260229	Mocs2A		8674021	8674021	protein_coding
FBgn0052774	Muc4B		31368	31368	protein_coding
FBgn0265757	lncRNA:CR44564		19835830	19835830	lncRNA
