Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT1G64150	AT1G64150	AT1G64150	842719	protein_coding
AT1G02816	AT1G02816	AT1G02816	839308	protein_coding
AT5G11980	AT5G11980	AT5G11980	831071	protein_coding
AT3G58670	AT3G58670	AT3G58670	825036	protein_coding
AT3G13190	AT3G13190	AT3G13190	820509	protein_coding
AT4G10920	KELP	KELP	826690	protein_coding
AT5G17990	TRP1	TRP1	831666	protein_coding
AT3G55252	AT3G55252	AT3G55252	5008087	protein_coding
AT3G60240	EIF4G	EIF4G	825194	protein_coding
AT2G45030	AT2G45030	AT2G45030	819110	protein_coding
AT2G31290	AT2G31290	AT2G31290	817686	protein_coding
AT5G47290	AT5G47290	AT5G47290	834776	protein_coding
AT1G68540	TKPR2	TKPR2	843183	protein_coding
AT5G53742	AT5G53742	AT5G53742	5008307	protein_coding
AT2G03933	AT2G03933	AT2G03933	3768143	protein_coding
AT4G39700	AT4G39700	AT4G39700	830125	protein_coding
AT3G60640	ATG8G	ATG8G	825235	protein_coding
AT3G23020	AT3G23020	AT3G23020	821876	protein_coding
AT1G16280	RH36	RH36	838197	protein_coding
AT3G62910	APG3	APG3	825466	protein_coding
AT1G71370	AT1G71370	AT1G71370	843478	protein_coding
AT2G29330	TRI	TRI	817482	protein_coding
AT4G00420	AT4G00420	AT4G00420	828061	protein_coding
AT2G33320	AT2G33320	AT2G33320	817895	protein_coding
AT3G12170	AT3G12170	AT3G12170	820394	protein_coding
AT5G63085	AT5G63085	AT5G63085	5008327	protein_coding
AT1G62360	STM	STM	842534	protein_coding
AT5G54145	AT5G54145	AT5G54145	835502	protein_coding
AT3G02330	AT3G02330	AT3G02330	821115	protein_coding
AT1G45229	AT1G45229	AT1G45229	6240863	protein_coding
AT2G44740	CYCP4;1	CYCP4;1	819082	protein_coding
AT5G22370	QQT1	QQT1	832298	protein_coding
AT4G35630	PSAT	PSAT	829715	protein_coding
AT1G50630	AT1G50630	AT1G50630	841485	protein_coding
AT1G12630	AT1G12630	AT1G12630	837819	protein_coding
AT2G32295	AT2G32295	AT2G32295	817790	protein_coding
AT3G56510	AT3G56510	AT3G56510	824818	protein_coding
AT1G65349	AT1G65349	AT1G65349	28717400	protein_coding
AT5G60100	PRR3	PRR3	836132	protein_coding
AT3G07490	AGD11	AGD11	819937	protein_coding
AT1G20693	HMGB2	HMGB2	838658	protein_coding
AT2G07718	AT2G07718	AT2G07718	28717841	protein_coding
AT1G13380	AT1G13380	AT1G13380	837898	protein_coding
AT1G20160	ATSBT5.2	ATSBT5.2	838606	protein_coding
AT3G24255	AT3G24255	AT3G24255	822013	protein_coding
AT2G33470	GLTP1	GLTP1	817912	protein_coding
AT5G61050	AT5G61050	AT5G61050	836226	protein_coding
AT1G23900	GAMMA-ADAPTIN 1	GAMMA-ADAPTIN 1	839001	protein_coding
AT5G39350	AT5G39350	AT5G39350	833931	protein_coding
AT4G02320	AT4G02320	AT4G02320	828067	protein_coding
AT4G16800	AT4G16800	AT4G16800	827386	protein_coding
AT3G57160	AT3G57160	AT3G57160	824883	protein_coding
AT2G02695	AT2G02695	AT2G02695	28717520	protein_coding
AT2G26190	AT2G26190	AT2G26190	817159	protein_coding
AT2G15130	AT2G15130	AT2G15130	816001	protein_coding
AT2G41390	AT2G41390	AT2G41390	818737	protein_coding
AT1G51150	DEG6	DEG6	841538	protein_coding
AT1G64310	AT1G64310	AT1G64310	842737	protein_coding
AT5G11170	UAP56a	UAP56a	830986	protein_coding
AT1G21620	PUM20	PUM20	838764	protein_coding
AT1G16860	AT1G16860	AT1G16860	838257	protein_coding
AT4G30780	AT4G30780	AT4G30780	829201	protein_coding
AT1G03940	AT1G03940	AT1G03940	839366	protein_coding
AT5G57390	AIL5	AIL5	835845	protein_coding
AT4G21445	AT4G21445	AT4G21445	825893	protein_coding
